commune_name,longitude,latitude
Centre information jeunesse,3.050031,36.7888419
Cité Universitaire Ahmed Yousfi (Revoil),3.0821925,36.7449313
Centre de formation Meslem Mahieddine,3.0884777,36.7469467
Centre National d'Assitance Technique (CNAT),3.0879888,36.7436236
CNERATA,3.1073348,36.7398375
École d'horticulture,3.0742698,36.7472892
Institut Algerien des Hautes Etudes Financières,3.0516093,36.7536325
Institut National de Vulgarisation Agricole,3.0289207,36.7336206
CFPA Garcon,3.2838999,36.7433879
École de Police de Aïn Benian,2.9040322,36.7981586
IMSIE Institut de Management Stratégique et d'Intelligence Economique,3.0096692,36.7560292
Cité Universitaire pour filles Baya Hocine (CUB4),3.1892034,36.7129791
Annexe de l'Ecole Superieure de la Magistrature,3.1479799,36.7177128
CFPA Belamine Arezki,2.943842,36.7359692
ONDEFOC,3.2883066,36.7389184
Centre de Formation de l'Industrie du Ciment,3.0823069,36.68973
CFPA,2.9921134,36.6431361
Université d'Alger - Faculté de droit,3.0339125,36.7318268
Ecole Nationale de la Santé Publique,3.2552731,36.807574
CFPA El Djamila,2.9053394,36.7996638
CFPA Féminin,3.2726702,36.7363215
INSFP Bordj El Bahri,3.2593364,36.7865837
CFPA,3.1291655,36.7096484
Ecole Polytechnique d'Architecture et d'Urbanisme,3.1539529,36.7195482
Institut national de la poste et des technologies de l'information et de la communication,3.1423286,36.6616547
CFPA Mohamed Allouche,2.9492863,36.6775092
CFPA zENNOUCHE yOUCEF,3.0984851,36.6562355
Institut Supérieur de Formation Ferroviaire,3.2581387,36.7301063
Cima Excellence,3.3040683,36.7383574
المدرسة العليا للفنون الجميلة,3.0439637,36.7616947
Institut de Technologie Moyen Agricole Spécialisé المعهد التكنولوجي المتوسط الفلاحي المتخصص,3.3124624,36.7795012
École 1er Novembre,2.845534,36.716645
École de l'environnement,3.0777223,36.7482772
École Supérieure de la Sécurité Sociale,2.9984674,36.7550283
Ecole Supérieure des Travaux Publics,2.8584479,36.6752884
IRA University,3.2234874,36.7559022
متوسطة حي عدل فايزي,3.252035,36.7822471
المدرسة الوطنية العليا للتكنولوجيا المتقدمة,3.0609651,36.7883197
CFPA Dergana,3.2617196,36.7672751
SLB Ecole d'anglais,3.0591409,36.7736585
علي عسوس,3.0110504,36.7760279
Busines school Algeria,3.037661,36.7329892
Établissement de formation professionnelle accrédité,3.2119766,36.7521259
CEFAM,2.8867607,36.757252
farabi,3.0612394,36.7908411
Om Habiba,3.0611025,36.7909235
École la concorde,3.0290598,36.8118824
école Rebah Handla,3.0148524,36.7701444
El Klimat Shcoul,3.0025279,36.7794459
Centre de formation Bouskour,3.0111661,36.7945954
British Council,3.0481619,36.7404084
Établissement de perfectionnement de la langue anglaise,3.072084,36.7435025
École Aladin,3.2339553,36.7749515
Ecole Primaire Ourida Meddad,3.2543466,36.8098541
Newton,3.0949259,36.7043047
Tirouch mohamed seghir,3.2377235,36.7342511
Alcodefi,3.2809203,36.7375848
Abed ellah boutoubal,2.8910636,36.751135
centre de formation professionnelle,2.9065615,36.7038716
Centre de formation professionnel,3.3378449,36.7313216
Ikram,3.1657709,36.7239226
Ecole Nationale Supérieure des Sciences de la Mer et de l'Aménagement du Littoral,2.9817799,36.7553186
الإقامة الجامعية طالب عبد الرحمان,3.0068053,36.7596249
Cem ahmad chaanan,3.1337386,36.7272556
École Nationale de Santé Militaire,3.0621098,36.7184351
École privée el manale,2.9200839,36.8002668
واعيل محمد,3.2389057,36.7277002
Centre de formation de la chambre Algérienne du Commerce et de l’industrie (CACI formation),3.1598678,36.732662
École sabdoun ali,3.1886084,36.7466133
Maternelle crèche,3.1956858,36.7412482
École privée,3.1454633,36.7297559
Chakib jaafer,3.2723311,36.7764475
Université Bouzereah (Alger 2),3.0058285,36.7790804
مركز التكوين المهني ، ملحقة المرسى,3.2397398,36.8026305
École ennassaim,3.2348182,36.734571
École privée,2.9901134,36.7072376
