@id,name,name:ar,network,network:wikidata,operator,operator:wikidata,public_transport,railway,tram,lon,lat,alt_name:ft,alt_name:ar,alt_name:fr,name:fr,name:de,name:en,source,name:it,shelter
node/3513698842,Pont El-Harrach,جسر الحراش,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1301771,36.7303138,,,,,,,,,
node/3513712819,La Glacière,الهواء الجميل,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1246565,36.732837,,,,,,,,,
node/3513715693,Caroubier,الخروبة,ترامواي الجزائر,Q1688502,,Q22688489,,tram_stop,,3.1181711,36.7357507,,,,Caroubier,Caroubier,Caroubier,,,
node/3513726622,Tripoli-Magharia,طرابلس - المقرية,ترامواي الجزائر,Q1688502,,Q22688489,stop_position,tram_stop,yes,3.113698,36.7370641,,,,,,,,,
node/3513727274,Tripoli-Hamadeche,طرابلس-حمداش,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1041049,36.7407402,,,,,,,,,
node/3513729589,Tripoli - Thâalibia,,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.0923089,36.7452426,,,,,,,,,
node/3513729802,Tripoli - Mosquée,طرابلس - المسجد,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.0974281,36.7432855,,,,,,,,,
node/3516056360,La Glacière,,ترامواي الجزائر,Q1688502,,Q22688489,,tram_stop,,3.1245081,36.7326143,,,,La Glacière,,,,,
node/3694495396,Cité Diplomatique,الحي الدبلوماسي,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.2593565,36.7739566,,,,Cité Diplomatique,,,local knowledge,,
node/3694495400,Dergana Centre,درڨانة وسط,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.2603056,36.7719729,,,,Dergana Centre,,Dergana Center,local knowledge,,yes
node/3694495413,Faculté Biomédicale,,,,SETRAM,,stop_position,tram_stop,yes,3.2588623,36.7777007,,,,,,,local knowledge,,
node/4377305014,Cité Diplomatique,,,,SETRAM,,stop_position,tram_stop,yes,3.2593988,36.7739474,,,,Cité Diplomatique,,,,,
node/4377305015,Dergana Centre,درڨانة وسط,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.2603157,36.772017,,,,Dergana Centre,,Dergana Center,local knowledge,,yes
node/4377305016,Faculté Biomédicale,,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.2588343,36.7777363,,,,,,,local knowledge,,
node/7301592854,Ruisseau,الرويسو,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.0834355,36.7429185,,رويسو,,,,,,,
node/8292893940,Ben Redouan,بن رضوان,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.2242157,36.7554384,,,,Ben Redouan,,Ben Redouan,,,
node/8292893942,Ben Redouan,بن رضوان,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.2242171,36.7554099,,,,Ben Redouan,,Ben Redouan,,,
