@id,name,name:ar,network,network:wikidata,operator,operator:wikidata,public_transport,railway,tram,lon,lat,alt_name:ft,alt_name:ar,alt_name:fr,name:fr,name:de,name:en,source,name:it,shelter,amenity,operator:fr,wikidata,wikipedia,@geometry,addr:city,addr:city:fr,building,old_name,old_name:fr,addr:postcode,layer,toilets:wheelchair,wheelchair,addr:housenumber,addr:street,addr:street:fr,barrier,denomination,operator:wikipedia,phone,website,addr:suburb,description,alt_name,check_date,opening_hours,religion,name:ber,name:kab,note,residential,landuse,old_name:ar,short_name,addr:country,email,wikimedia_commons,addr:state,contact:facebook,contact:twitter,contact:youtube,fax,name:pt,official_name:kab,old_short_name,addr:city:ar,name:es,facebook,alt_name:en,contact:email,contact:website,material,name:fa,short_name:fr
node/3009232878,Mimouni Hamoudi,ميموني محمود,ترامواي الجزائر,Q1688502,Setram,Q22688489,,tram_stop,,3.2119921,36.7503142,,,,Mimouni Hamoudi,,Mimouni Hamoudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3010708035,La Glacière,,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.1245275,36.7326363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3102187300,Ben Mrabet,بن مرابط,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2200951,36.7535674,,,,Ben Mrabet,,Ben Mrabet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3220011165,Sidi Dris,سيدي ادريس,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2384262,36.7660323,,,,Sidi Dris,,Sidi Dris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3220011760,Café Chergui,قهوة شرقي,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.2501635,36.7774533,,,,,,,local knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3376367448,Ben Mered,بن مراد,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2294045,36.7589908,,,,Ben Mered,,Ben Mered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3512265690,Les Fusillés,المعدومين,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.0867914,36.7460096,,,,Les Fusillés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3513492377,Ben Mered,بن مراد,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2293823,36.7590229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3513515526,Café Chergui,قهوة شرقي,,,,,stop_position,tram_stop,yes,3.2501708,36.7774912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3513529208,Mimouni Mahmoud,ميموني محمود,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2119574,36.7503702,,,,Mimouni Mahmoud,Mimouni Mahmoud,Mimouni Mahmoud,,Mimouni Mahmoud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3513532150,Benzerga,,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2451316,36.7730613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3513534789,Sidi Dris,سيدي دريس,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2384001,36.7660513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3513537666,Mouhous,,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2064851,36.7493554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3513540400,Ben Mrabet,بن مرابط,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2200865,36.753599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3513552241,Bordj El Kiffan - Polyclinique,برج الكيفان - العيادة,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1971485,36.7482018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3513552242,Bordj El Kiffan - Centre,برج الكيفان - وسط,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1909913,36.747044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3513552990,Bordj El Kiffan - Lycée,برج الكيفان - الثانوية,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1876436,36.7453314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3513571593,Cité Clair Matin,حي الصباح,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1860611,36.7409816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3513573388,Cité 8 mai 1945,حي 8 ماي 1945,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1848779,36.737329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3513574204,Bab Ezzouar - Le Pont,باب الزوار - الجسر,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1847488,36.7243368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3513575500,Cité Universitaire - CUB 1,الإقامة الجامعية - ح ج ب 1,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1840388,36.7322534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3513576390,Cité 5 juillet,حي 5 جويلية,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1827917,36.721547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
